REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND
SA1,2022/09/20 18:30:00,1960
TAS1,2022/09/20 18:30:00,1321
VIC1,2022/09/20 18:30:00,6140
NSW1,2022/09/20 19:00:00,9365
QLD1,2022/09/20 19:00:00,7195
SA1,2022/09/20 19:00:00,1973
TAS1,2022/09/20 19:00:00,1343
VIC1,2022/09/20 19:00:00,6253
NSW1,2022/09/20 19:30:00,9169
QLD1,2022/09/20 19:30:00,7065
SA1,2022/09/20 19:30:00,1956
TAS1,2022/09/20 19:30:00,1325
VIC1,2022/09/20 19:30:00,6208
NSW1,2022/09/20 20:00:00,8950
QLD1,2022/09/20 20:00:00,7021
SA1,2022/09/20 20:00:00,1901
TAS1,2022/09/20 20:00:00,1302
VIC1,2022/09/20 20:00:00,6090
NSW1,2022/09/20 20:30:00,8816
QLD1,2022/09/20 20:30:00,7020
SA1,2022/09/20 20:30:00,1859
TAS1,2022/09/20 20:30:00,1288
VIC1,2022/09/20 20:30:00,5980
NSW1,2022/09/20 21:00:00,8646
QLD1,2022/09/20 21:00:00,6845
SA1,2022/09/20 21:00:00,1796
TAS1,2022/09/20 21:00:00,1265
VIC1,2022/09/20 21:00:00,5866
NSW1,2022/09/20 21:30:00,8430
QLD1,2022/09/20 21:30:00,6589
SA1,2022/09/20 21:30:00,1742
TAS1,2022/09/20 21:30:00,1227
VIC1,2022/09/20 21:30:00,5692
NSW1,2022/09/20 22:00:00,8221
QLD1,2022/09/20 22:00:00,6414
SA1,2022/09/20 22:00:00,1676
TAS1,2022/09/20 22:00:00,1187
VIC1,2022/09/20 22:00:00,5527
NSW1,2022/09/20 22:30:00,8128
QLD1,2022/09/20 22:30:00,6171
SA1,2022/09/20 22:30:00,1603
TAS1,2022/09/20 22:30:00,1143
VIC1,2022/09/20 22:30:00,5308
NSW1,2022/09/20 23:00:00,7922
QLD1,2022/09/20 23:00:00,5991
SA1,2022/09/20 23:00:00,1496
TAS1,2022/09/20 23:00:00,1091
VIC1,2022/09/20 23:00:00,5131
NSW1,2022/09/20 23:30:00,7834
QLD1,2022/09/20 23:30:00,5910
SA1,2022/09/20 23:30:00,1429
TAS1,2022/09/20 23:30:00,1073
VIC1,2022/09/20 23:30:00,5161
NSW1,2022/09/21 00:00:00,7751
QLD1,2022/09/21 00:00:00,5767
SA1,2022/09/21 00:00:00,1515
TAS1,2022/09/21 00:00:00,1050
VIC1,2022/09/21 00:00:00,5127
NSW1,2022/09/21 00:30:00,7611
QLD1,2022/09/21 00:30:00,5539
SA1,2022/09/21 00:30:00,1513
TAS1,2022/09/21 00:30:00,1020
VIC1,2022/09/21 00:30:00,4907
NSW1,2022/09/21 01:00:00,7498
QLD1,2022/09/21 01:00:00,5438
SA1,2022/09/21 01:00:00,1505
TAS1,2022/09/21 01:00:00,997
VIC1,2022/09/21 01:00:00,4795
NSW1,2022/09/21 01:30:00,7275
QLD1,2022/09/21 01:30:00,5364
SA1,2022/09/21 01:30:00,1472
TAS1,2022/09/21 01:30:00,995
VIC1,2022/09/21 01:30:00,4634
NSW1,2022/09/21 02:00:00,7057
QLD1,2022/09/21 02:00:00,5284
SA1,2022/09/21 02:00:00,1430
TAS1,2022/09/21 02:00:00,991
VIC1,2022/09/21 02:00:00,4473
NSW1,2022/09/21 02:30:00,6811
QLD1,2022/09/21 02:30:00,5229
SA1,2022/09/21 02:30:00,1390
TAS1,2022/09/21 02:30:00,978
VIC1,2022/09/21 02:30:00,4382
NSW1,2022/09/21 03:00:00,6617
QLD1,2022/09/21 03:00:00,5175
SA1,2022/09/21 03:00:00,1350
TAS1,2022/09/21 03:00:00,971
VIC1,2022/09/21 03:00:00,4232
NSW1,2022/09/21 03:30:00,6490
QLD1,2022/09/21 03:30:00,5188
SA1,2022/09/21 03:30:00,1309
TAS1,2022/09/21 03:30:00,985
VIC1,2022/09/21 03:30:00,3998
NSW1,2022/09/21 04:00:00,6438
QLD1,2022/09/21 04:00:00,5196
SA1,2022/09/21 04:00:00,1291
TAS1,2022/09/21 04:00:00,990
VIC1,2022/09/21 04:00:00,3758
NSW1,2022/09/21 04:30:00,6444
QLD1,2022/09/21 04:30:00,5231
SA1,2022/09/21 04:30:00,1287
TAS1,2022/09/21 04:30:00,997
VIC1,2022/09/21 04:30:00,4181
NSW1,2022/09/21 05:00:00,6523
QLD1,2022/09/21 05:00:00,5320
SA1,2022/09/21 05:00:00,1288
TAS1,2022/09/21 05:00:00,1012
VIC1,2022/09/21 05:00:00,4242
NSW1,2022/09/21 05:30:00,6737
QLD1,2022/09/21 05:30:00,5471
SA1,2022/09/21 05:30:00,1297
TAS1,2022/09/21 05:30:00,1039
VIC1,2022/09/21 05:30:00,4406
NSW1,2022/09/21 06:00:00,7064
QLD1,2022/09/21 06:00:00,5594
SA1,2022/09/21 06:00:00,1330
TAS1,2022/09/21 06:00:00,1083
VIC1,2022/09/21 06:00:00,4613
NSW1,2022/09/21 06:30:00,7480
QLD1,2022/09/21 06:30:00,5707
SA1,2022/09/21 06:30:00,1376
TAS1,2022/09/21 06:30:00,1163
VIC1,2022/09/21 06:30:00,4951
NSW1,2022/09/21 07:00:00,7867
QLD1,2022/09/21 07:00:00,5835
SA1,2022/09/21 07:00:00,1473
TAS1,2022/09/21 07:00:00,1228
VIC1,2022/09/21 07:00:00,5189
NSW1,2022/09/21 07:30:00,8023
QLD1,2022/09/21 07:30:00,5918
SA1,2022/09/21 07:30:00,1549
TAS1,2022/09/21 07:30:00,1266
VIC1,2022/09/21 07:30:00,5380
NSW1,2022/09/21 08:00:00,8089
QLD1,2022/09/21 08:00:00,5873
SA1,2022/09/21 08:00:00,1590
TAS1,2022/09/21 08:00:00,1297
VIC1,2022/09/21 08:00:00,5497
NSW1,2022/09/21 08:30:00,7987
QLD1,2022/09/21 08:30:00,5809
SA1,2022/09/21 08:30:00,1587
TAS1,2022/09/21 08:30:00,1297
VIC1,2022/09/21 08:30:00,5565
NSW1,2022/09/21 09:00:00,7813
QLD1,2022/09/21 09:00:00,5795
SA1,2022/09/21 09:00:00,1550
TAS1,2022/09/21 09:00:00,1271
VIC1,2022/09/21 09:00:00,5610
NSW1,2022/09/21 09:30:00,7702
QLD1,2022/09/21 09:30:00,5584
SA1,2022/09/21 09:30:00,1492
TAS1,2022/09/21 09:30:00,1232
VIC1,2022/09/21 09:30:00,5525
NSW1,2022/09/21 10:00:00,7546
QLD1,2022/09/21 10:00:00,5437
SA1,2022/09/21 10:00:00,1477
TAS1,2022/09/21 10:00:00,1195
VIC1,2022/09/21 10:00:00,5428
NSW1,2022/09/21 10:30:00,7301
QLD1,2022/09/21 10:30:00,5506
SA1,2022/09/21 10:30:00,1441
TAS1,2022/09/21 10:30:00,1152
VIC1,2022/09/21 10:30:00,5312
NSW1,2022/09/21 11:00:00,7311
QLD1,2022/09/21 11:00:00,5584
SA1,2022/09/21 11:00:00,1406
TAS1,2022/09/21 11:00:00,1094
VIC1,2022/09/21 11:00:00,5263
NSW1,2022/09/21 11:30:00,7391
QLD1,2022/09/21 11:30:00,5797
SA1,2022/09/21 11:30:00,1310
TAS1,2022/09/21 11:30:00,1085
VIC1,2022/09/21 11:30:00,5187
NSW1,2022/09/21 12:00:00,7360
QLD1,2022/09/21 12:00:00,5891
SA1,2022/09/21 12:00:00,1250
TAS1,2022/09/21 12:00:00,1069
VIC1,2022/09/21 12:00:00,5118
NSW1,2022/09/21 12:30:00,7456
QLD1,2022/09/21 12:30:00,5933
SA1,2022/09/21 12:30:00,1263
TAS1,2022/09/21 12:30:00,1053
VIC1,2022/09/21 12:30:00,5038
NSW1,2022/09/21 13:00:00,7514
QLD1,2022/09/21 13:00:00,5995
SA1,2022/09/21 13:00:00,1249
TAS1,2022/09/21 13:00:00,996
VIC1,2022/09/21 13:00:00,4822
NSW1,2022/09/21 13:30:00,7632
QLD1,2022/09/21 13:30:00,6033
SA1,2022/09/21 13:30:00,1254
TAS1,2022/09/21 13:30:00,975
VIC1,2022/09/21 13:30:00,4942
NSW1,2022/09/21 14:00:00,7819
QLD1,2022/09/21 14:00:00,6150
SA1,2022/09/21 14:00:00,1246
TAS1,2022/09/21 14:00:00,971
VIC1,2022/09/21 14:00:00,5148
NSW1,2022/09/21 14:30:00,7929
QLD1,2022/09/21 14:30:00,6270
SA1,2022/09/21 14:30:00,1287
TAS1,2022/09/21 14:30:00,997
VIC1,2022/09/21 14:30:00,5202
NSW1,2022/09/21 15:00:00,8048
QLD1,2022/09/21 15:00:00,6405
SA1,2022/09/21 15:00:00,1299
TAS1,2022/09/21 15:00:00,1006
VIC1,2022/09/21 15:00:00,5233
NSW1,2022/09/21 15:30:00,8180
QLD1,2022/09/21 15:30:00,6466
SA1,2022/09/21 15:30:00,1284
TAS1,2022/09/21 15:30:00,998
VIC1,2022/09/21 15:30:00,5191
NSW1,2022/09/21 16:00:00,8389
QLD1,2022/09/21 16:00:00,6584
SA1,2022/09/21 16:00:00,1320
TAS1,2022/09/21 16:00:00,1000
VIC1,2022/09/21 16:00:00,5166
NSW1,2022/09/21 16:30:00,8550
QLD1,2022/09/21 16:30:00,6648
SA1,2022/09/21 16:30:00,1368
TAS1,2022/09/21 16:30:00,983
VIC1,2022/09/21 16:30:00,5187
NSW1,2022/09/21 17:00:00,8742
QLD1,2022/09/21 17:00:00,6778
SA1,2022/09/21 17:00:00,1433
TAS1,2022/09/21 17:00:00,989
VIC1,2022/09/21 17:00:00,5347
NSW1,2022/09/21 17:30:00,8994
QLD1,2022/09/21 17:30:00,6942
SA1,2022/09/21 17:30:00,1526
TAS1,2022/09/21 17:30:00,1031
VIC1,2022/09/21 17:30:00,5581
NSW1,2022/09/21 18:00:00,9229
QLD1,2022/09/21 18:00:00,7028
SA1,2022/09/21 18:00:00,1650
TAS1,2022/09/21 18:00:00,1069
VIC1,2022/09/21 18:00:00,5789
NSW1,2022/09/21 18:30:00,9397
QLD1,2022/09/21 18:30:00,7081
SA1,2022/09/21 18:30:00,1747
TAS1,2022/09/21 18:30:00,1090
VIC1,2022/09/21 18:30:00,5907
NSW1,2022/09/21 19:00:00,9343
QLD1,2022/09/21 19:00:00,7092
SA1,2022/09/21 19:00:00,1810
TAS1,2022/09/21 19:00:00,1107
VIC1,2022/09/21 19:00:00,6009
NSW1,2022/09/21 19:30:00,9093
QLD1,2022/09/21 19:30:00,6967
SA1,2022/09/21 19:30:00,1846
TAS1,2022/09/21 19:30:00,1096
VIC1,2022/09/21 19:30:00,5966
NSW1,2022/09/21 20:00:00,8882
QLD1,2022/09/21 20:00:00,6963
SA1,2022/09/21 20:00:00,1825
TAS1,2022/09/21 20:00:00,1085
VIC1,2022/09/21 20:00:00,5861
NSW1,2022/09/21 20:30:00,8661
QLD1,2022/09/21 20:30:00,6967
SA1,2022/09/21 20:30:00,1802
TAS1,2022/09/21 20:30:00,1069
VIC1,2022/09/21 20:30:00,5750
NSW1,2022/09/21 21:00:00,8489
QLD1,2022/09/21 21:00:00,6789
SA1,2022/09/21 21:00:00,1769
TAS1,2022/09/21 21:00:00,1048
VIC1,2022/09/21 21:00:00,5638
NSW1,2022/09/21 21:30:00,8333
QLD1,2022/09/21 21:30:00,6581
SA1,2022/09/21 21:30:00,1733
TAS1,2022/09/21 21:30:00,1042
VIC1,2022/09/21 21:30:00,5548
NSW1,2022/09/21 22:00:00,8130
QLD1,2022/09/21 22:00:00,6433
SA1,2022/09/21 22:00:00,1699
TAS1,2022/09/21 22:00:00,1025
VIC1,2022/09/21 22:00:00,5407
NSW1,2022/09/21 22:30:00,8097
QLD1,2022/09/21 22:30:00,6258
SA1,2022/09/21 22:30:00,1634
TAS1,2022/09/21 22:30:00,997
VIC1,2022/09/21 22:30:00,5223
NSW1,2022/09/21 23:00:00,7974
QLD1,2022/09/21 23:00:00,6058
SA1,2022/09/21 23:00:00,1554
TAS1,2022/09/21 23:00:00,961
VIC1,2022/09/21 23:00:00,5090
NSW1,2022/09/21 23:30:00,7881
QLD1,2022/09/21 23:30:00,5963
SA1,2022/09/21 23:30:00,1480
TAS1,2022/09/21 23:30:00,938
VIC1,2022/09/21 23:30:00,5135
NSW1,2022/09/22 00:00:00,7787
QLD1,2022/09/22 00:00:00,5823
SA1,2022/09/22 00:00:00,1577
TAS1,2022/09/22 00:00:00,921
VIC1,2022/09/22 00:00:00,5098
NSW1,2022/09/22 00:30:00,7675
QLD1,2022/09/22 00:30:00,5581
SA1,2022/09/22 00:30:00,1545
TAS1,2022/09/22 00:30:00,916
VIC1,2022/09/22 00:30:00,4886
NSW1,2022/09/22 01:00:00,7546
QLD1,2022/09/22 01:00:00,5425
SA1,2022/09/22 01:00:00,1521
TAS1,2022/09/22 01:00:00,907
VIC1,2022/09/22 01:00:00,4704
NSW1,2022/09/22 01:30:00,7338
QLD1,2022/09/22 01:30:00,5324
SA1,2022/09/22 01:30:00,1490
TAS1,2022/09/22 01:30:00,887
VIC1,2022/09/22 01:30:00,4548
NSW1,2022/09/22 02:00:00,7126
QLD1,2022/09/22 02:00:00,5238
SA1,2022/09/22 02:00:00,1413
TAS1,2022/09/22 02:00:00,884
VIC1,2022/09/22 02:00:00,4413
NSW1,2022/09/22 02:30:00,6804
QLD1,2022/09/22 02:30:00,5167
SA1,2022/09/22 02:30:00,1341
TAS1,2022/09/22 02:30:00,882
VIC1,2022/09/22 02:30:00,4291
NSW1,2022/09/22 03:00:00,6571
QLD1,2022/09/22 03:00:00,5142
SA1,2022/09/22 03:00:00,1281
TAS1,2022/09/22 03:00:00,882
VIC1,2022/09/22 03:00:00,4209
NSW1,2022/09/22 03:30:00,6449
QLD1,2022/09/22 03:30:00,5122
SA1,2022/09/22 03:30:00,1231
TAS1,2022/09/22 03:30:00,880
VIC1,2022/09/22 03:30:00,4136
NSW1,2022/09/22 04:00:00,6328
QLD1,2022/09/22 04:00:00,5097
SA1,2022/09/22 04:00:00,1233
TAS1,2022/09/22 04:00:00,885
VIC1,2022/09/22 04:00:00,4104
NSW1,2022/09/22 04:30:00,6344
QLD1,2022/09/22 04:30:00,5105
SA1,2022/09/22 04:30:00,1220
TAS1,2022/09/22 04:30:00,885
VIC1,2022/09/22 04:30:00,4086
NSW1,2022/09/22 05:00:00,6410
QLD1,2022/09/22 05:00:00,5147
SA1,2022/09/22 05:00:00,1210
TAS1,2022/09/22 05:00:00,896
VIC1,2022/09/22 05:00:00,4114
NSW1,2022/09/22 05:30:00,6490
QLD1,2022/09/22 05:30:00,5227
SA1,2022/09/22 05:30:00,1217
TAS1,2022/09/22 05:30:00,918
VIC1,2022/09/22 05:30:00,4178
NSW1,2022/09/22 06:00:00,6607
QLD1,2022/09/22 06:00:00,5337
SA1,2022/09/22 06:00:00,1237
TAS1,2022/09/22 06:00:00,936
VIC1,2022/09/22 06:00:00,4296
NSW1,2022/09/22 06:30:00,6782
QLD1,2022/09/22 06:30:00,5429
SA1,2022/09/22 06:30:00,1257
TAS1,2022/09/22 06:30:00,971
VIC1,2022/09/22 06:30:00,4441
NSW1,2022/09/22 07:00:00,6893
QLD1,2022/09/22 07:00:00,5535
SA1,2022/09/22 07:00:00,1290
TAS1,2022/09/22 07:00:00,990
VIC1,2022/09/22 07:00:00,4526
NSW1,2022/09/22 07:30:00,6939
QLD1,2022/09/22 07:30:00,5667
SA1,2022/09/22 07:30:00,1251
TAS1,2022/09/22 07:30:00,1009
VIC1,2022/09/22 07:30:00,4438
NSW1,2022/09/22 08:00:00,7054
QLD1,2022/09/22 08:00:00,5748
SA1,2022/09/22 08:00:00,1162
TAS1,2022/09/22 08:00:00,1022
VIC1,2022/09/22 08:00:00,4305
NSW1,2022/09/22 08:30:00,7198
QLD1,2022/09/22 08:30:00,5901
SA1,2022/09/22 08:30:00,1062
TAS1,2022/09/22 08:30:00,1016
VIC1,2022/09/22 08:30:00,4115
NSW1,2022/09/22 09:00:00,7261
QLD1,2022/09/22 09:00:00,5952
SA1,2022/09/22 09:00:00,994
TAS1,2022/09/22 09:00:00,1016
VIC1,2022/09/22 09:00:00,3855
NSW1,2022/09/22 09:30:00,7313
QLD1,2022/09/22 09:30:00,6025
SA1,2022/09/22 09:30:00,881
TAS1,2022/09/22 09:30:00,1009
VIC1,2022/09/22 09:30:00,3590
NSW1,2022/09/22 10:00:00,7284
QLD1,2022/09/22 10:00:00,5989
SA1,2022/09/22 10:00:00,806
TAS1,2022/09/22 10:00:00,995
VIC1,2022/09/22 10:00:00,3322
NSW1,2022/09/22 10:30:00,7227
QLD1,2022/09/22 10:30:00,5910
SA1,2022/09/22 10:30:00,722
TAS1,2022/09/22 10:30:00,978
VIC1,2022/09/22 10:30:00,3126
NSW1,2022/09/22 11:00:00,7273
QLD1,2022/09/22 11:00:00,5750
SA1,2022/09/22 11:00:00,641
TAS1,2022/09/22 11:00:00,935
VIC1,2022/09/22 11:00:00,2920
NSW1,2022/09/22 11:30:00,7243
QLD1,2022/09/22 11:30:00,5696
SA1,2022/09/22 11:30:00,533
TAS1,2022/09/22 11:30:00,902
VIC1,2022/09/22 11:30:00,2806
NSW1,2022/09/22 12:00:00,7170
QLD1,2022/09/22 12:00:00,5536
SA1,2022/09/22 12:00:00,485
TAS1,2022/09/22 12:00:00,892
VIC1,2022/09/22 12:00:00,2753
NSW1,2022/09/22 12:30:00,7148
QLD1,2022/09/22 12:30:00,5274
SA1,2022/09/22 12:30:00,450
TAS1,2022/09/22 12:30:00,891
VIC1,2022/09/22 12:30:00,2755
NSW1,2022/09/22 13:00:00,7093
QLD1,2022/09/22 13:00:00,5115
SA1,2022/09/22 13:00:00,442
TAS1,2022/09/22 13:00:00,869
VIC1,2022/09/22 13:00:00,2750
NSW1,2022/09/22 13:30:00,7007
QLD1,2022/09/22 13:30:00,5123
SA1,2022/09/22 13:30:00,482
TAS1,2022/09/22 13:30:00,859
VIC1,2022/09/22 13:30:00,2788
NSW1,2022/09/22 14:00:00,6912
QLD1,2022/09/22 14:00:00,5323
SA1,2022/09/22 14:00:00,519
TAS1,2022/09/22 14:00:00,853
VIC1,2022/09/22 14:00:00,2957
NSW1,2022/09/22 14:30:00,6816
QLD1,2022/09/22 14:30:00,5342
SA1,2022/09/22 14:30:00,597
TAS1,2022/09/22 14:30:00,859
VIC1,2022/09/22 14:30:00,3075
NSW1,2022/09/22 15:00:00,6945
QLD1,2022/09/22 15:00:00,5407
SA1,2022/09/22 15:00:00,639
TAS1,2022/09/22 15:00:00,870
VIC1,2022/09/22 15:00:00,3275
NSW1,2022/09/22 15:30:00,7088
QLD1,2022/09/22 15:30:00,5539
SA1,2022/09/22 15:30:00,566
TAS1,2022/09/22 15:30:00,882
VIC1,2022/09/22 15:30:00,3496
NSW1,2022/09/22 16:00:00,7377
QLD1,2022/09/22 16:00:00,5876
SA1,2022/09/22 16:00:00,663
TAS1,2022/09/22 16:00:00,911
VIC1,2022/09/22 16:00:00,3878
NSW1,2022/09/22 16:30:00,7648
QLD1,2022/09/22 16:30:00,6191
SA1,2022/09/22 16:30:00,803
TAS1,2022/09/22 16:30:00,947
VIC1,2022/09/22 16:30:00,4226
NSW1,2022/09/22 17:00:00,7996
QLD1,2022/09/22 17:00:00,6478
SA1,2022/09/22 17:00:00,949
TAS1,2022/09/22 17:00:00,976
VIC1,2022/09/22 17:00:00,4604
NSW1,2022/09/22 17:30:00,8394
QLD1,2022/09/22 17:30:00,6685
SA1,2022/09/22 17:30:00,1113
TAS1,2022/09/22 17:30:00,1023
VIC1,2022/09/22 17:30:00,4989
NSW1,2022/09/22 18:00:00,8822
QLD1,2022/09/22 18:00:00,6794
SA1,2022/09/22 18:00:00,1365
TAS1,2022/09/22 18:00:00,1073
VIC1,2022/09/22 18:00:00,5229
NSW1,2022/09/22 18:30:00,9115
QLD1,2022/09/22 18:30:00,6892
SA1,2022/09/22 18:30:00,1526
TAS1,2022/09/22 18:30:00,1109
VIC1,2022/09/22 18:30:00,5428
NSW1,2022/09/22 19:00:00,9102
QLD1,2022/09/22 19:00:00,6911
SA1,2022/09/22 19:00:00,1666
TAS1,2022/09/22 19:00:00,1132
VIC1,2022/09/22 19:00:00,5535
NSW1,2022/09/22 19:30:00,8880
QLD1,2022/09/22 19:30:00,6759
SA1,2022/09/22 19:30:00,1722
TAS1,2022/09/22 19:30:00,1112
VIC1,2022/09/22 19:30:00,5515
NSW1,2022/09/22 20:00:00,8673
QLD1,2022/09/22 20:00:00,6703
SA1,2022/09/22 20:00:00,1726
TAS1,2022/09/22 20:00:00,1071
VIC1,2022/09/22 20:00:00,5393
NSW1,2022/09/22 20:30:00,8472
QLD1,2022/09/22 20:30:00,6730
SA1,2022/09/22 20:30:00,1727
TAS1,2022/09/22 20:30:00,1058
VIC1,2022/09/22 20:30:00,5293
NSW1,2022/09/22 21:00:00,8301
QLD1,2022/09/22 21:00:00,6554
SA1,2022/09/22 21:00:00,1694
TAS1,2022/09/22 21:00:00,1038
VIC1,2022/09/22 21:00:00,5225
NSW1,2022/09/22 21:30:00,8110
QLD1,2022/09/22 21:30:00,6336
SA1,2022/09/22 21:30:00,1662
TAS1,2022/09/22 21:30:00,1015
VIC1,2022/09/22 21:30:00,5094
NSW1,2022/09/22 22:00:00,7929
QLD1,2022/09/22 22:00:00,6224
SA1,2022/09/22 22:00:00,1608
TAS1,2022/09/22 22:00:00,988
VIC1,2022/09/22 22:00:00,4988
NSW1,2022/09/22 22:30:00,7904
QLD1,2022/09/22 22:30:00,6048
SA1,2022/09/22 22:30:00,1527
TAS1,2022/09/22 22:30:00,984
VIC1,2022/09/22 22:30:00,4858
NSW1,2022/09/22 23:00:00,7782
QLD1,2022/09/22 23:00:00,5907
SA1,2022/09/22 23:00:00,1475
TAS1,2022/09/22 23:00:00,953
VIC1,2022/09/22 23:00:00,4746
NSW1,2022/09/22 23:30:00,7701
QLD1,2022/09/22 23:30:00,5852
SA1,2022/09/22 23:30:00,1418
TAS1,2022/09/22 23:30:00,930
VIC1,2022/09/22 23:30:00,4885
NSW1,2022/09/23 00:00:00,7655
QLD1,2022/09/23 00:00:00,5729
SA1,2022/09/23 00:00:00,1528
TAS1,2022/09/23 00:00:00,908
VIC1,2022/09/23 00:00:00,4836
NSW1,2022/09/23 00:30:00,7471
QLD1,2022/09/23 00:30:00,5458
SA1,2022/09/23 00:30:00,1510
TAS1,2022/09/23 00:30:00,894
VIC1,2022/09/23 00:30:00,4666
NSW1,2022/09/23 01:00:00,7332
QLD1,2022/09/23 01:00:00,5287
SA1,2022/09/23 01:00:00,1496
TAS1,2022/09/23 01:00:00,882
VIC1,2022/09/23 01:00:00,4527
NSW1,2022/09/23 01:30:00,7144
QLD1,2022/09/23 01:30:00,5269
SA1,2022/09/23 01:30:00,1457
TAS1,2022/09/23 01:30:00,869
VIC1,2022/09/23 01:30:00,4392
NSW1,2022/09/23 02:00:00,6919
QLD1,2022/09/23 02:00:00,5197
SA1,2022/09/23 02:00:00,1418
TAS1,2022/09/23 02:00:00,862
VIC1,2022/09/23 02:00:00,4218
NSW1,2022/09/23 02:30:00,6711
QLD1,2022/09/23 02:30:00,5139
SA1,2022/09/23 02:30:00,1372
TAS1,2022/09/23 02:30:00,869
VIC1,2022/09/23 02:30:00,4115
NSW1,2022/09/23 03:00:00,6459
QLD1,2022/09/23 03:00:00,5109
SA1,2022/09/23 03:00:00,1334
TAS1,2022/09/23 03:00:00,868
VIC1,2022/09/23 03:00:00,4033
NSW1,2022/09/23 03:30:00,6326
QLD1,2022/09/23 03:30:00,5076
SA1,2022/09/23 03:30:00,1302
TAS1,2022/09/23 03:30:00,869
VIC1,2022/09/23 03:30:00,3937
NSW1,2022/09/23 04:00:00,6221
QLD1,2022/09/23 04:00:00,5082
SA1,2022/09/23 04:00:00,1264
TAS1,2022/09/23 04:00:00,871
VIC1,2022/09/23 04:00:00,3919
NSW1,2022/09/23 04:30:00,6227
QLD1,2022/09/23 04:30:00,5144
SA1,2022/09/23 04:30:00,1234
TAS1,2022/09/23 04:30:00,880
VIC1,2022/09/23 04:30:00,3924
NSW1,2022/09/23 05:00:00,6339
QLD1,2022/09/23 05:00:00,5221
SA1,2022/09/23 05:00:00,1244
TAS1,2022/09/23 05:00:00,891
VIC1,2022/09/23 05:00:00,3958
NSW1,2022/09/23 05:30:00,6558
QLD1,2022/09/23 05:30:00,5408
SA1,2022/09/23 05:30:00,1230
TAS1,2022/09/23 05:30:00,917
VIC1,2022/09/23 05:30:00,4043
NSW1,2022/09/23 06:00:00,6785
QLD1,2022/09/23 06:00:00,5546
SA1,2022/09/23 06:00:00,1281
TAS1,2022/09/23 06:00:00,946
VIC1,2022/09/23 06:00:00,4099
NSW1,2022/09/23 06:30:00,7191
QLD1,2022/09/23 06:30:00,5711
SA1,2022/09/23 06:30:00,1332
TAS1,2022/09/23 06:30:00,998
VIC1,2022/09/23 06:30:00,4264
NSW1,2022/09/23 07:00:00,7539
QLD1,2022/09/23 07:00:00,5790
SA1,2022/09/23 07:00:00,1413
TAS1,2022/09/23 07:00:00,1058
VIC1,2022/09/23 07:00:00,4361
NSW1,2022/09/23 07:30:00,7601
QLD1,2022/09/23 07:30:00,5847
SA1,2022/09/23 07:30:00,1440
TAS1,2022/09/23 07:30:00,1121
VIC1,2022/09/23 07:30:00,4383
NSW1,2022/09/23 08:00:00,7698
QLD1,2022/09/23 08:00:00,5795
SA1,2022/09/23 08:00:00,1448
TAS1,2022/09/23 08:00:00,1159
VIC1,2022/09/23 08:00:00,4476
NSW1,2022/09/23 08:30:00,7736
QLD1,2022/09/23 08:30:00,5649
SA1,2022/09/23 08:30:00,1435
TAS1,2022/09/23 08:30:00,1161
VIC1,2022/09/23 08:30:00,4531
NSW1,2022/09/23 09:00:00,7682
QLD1,2022/09/23 09:00:00,5404
SA1,2022/09/23 09:00:00,1362
TAS1,2022/09/23 09:00:00,1142
VIC1,2022/09/23 09:00:00,4487
NSW1,2022/09/23 09:30:00,7688
QLD1,2022/09/23 09:30:00,5174
SA1,2022/09/23 09:30:00,1212
TAS1,2022/09/23 09:30:00,1116
VIC1,2022/09/23 09:30:00,4315
NSW1,2022/09/23 10:00:00,7602
QLD1,2022/09/23 10:00:00,4954
SA1,2022/09/23 10:00:00,1080
TAS1,2022/09/23 10:00:00,1064
VIC1,2022/09/23 10:00:00,4315
NSW1,2022/09/23 10:30:00,7494
QLD1,2022/09/23 10:30:00,4853
SA1,2022/09/23 10:30:00,975
TAS1,2022/09/23 10:30:00,1012
VIC1,2022/09/23 10:30:00,4388
NSW1,2022/09/23 11:00:00,7404
QLD1,2022/09/23 11:00:00,4767
SA1,2022/09/23 11:00:00,848
TAS1,2022/09/23 11:00:00,975
VIC1,2022/09/23 11:00:00,4371
NSW1,2022/09/23 11:30:00,7290
QLD1,2022/09/23 11:30:00,4658
SA1,2022/09/23 11:30:00,787
TAS1,2022/09/23 11:30:00,961
VIC1,2022/09/23 11:30:00,4273
NSW1,2022/09/23 12:00:00,7280
QLD1,2022/09/23 12:00:00,4816
SA1,2022/09/23 12:00:00,815
TAS1,2022/09/23 12:00:00,960
VIC1,2022/09/23 12:00:00,4061
NSW1,2022/09/23 12:30:00,7176
QLD1,2022/09/23 12:30:00,4852
SA1,2022/09/23 12:30:00,766
TAS1,2022/09/23 12:30:00,971
VIC1,2022/09/23 12:30:00,4142
NSW1,2022/09/23 13:00:00,7138
QLD1,2022/09/23 13:00:00,4823
SA1,2022/09/23 13:00:00,738
TAS1,2022/09/23 13:00:00,988
VIC1,2022/09/23 13:00:00,4354
NSW1,2022/09/23 13:30:00,7203
QLD1,2022/09/23 13:30:00,4844
SA1,2022/09/23 13:30:00,794
TAS1,2022/09/23 13:30:00,1037
VIC1,2022/09/23 13:30:00,4463
NSW1,2022/09/23 14:00:00,7242
QLD1,2022/09/23 14:00:00,4894
SA1,2022/09/23 14:00:00,898
